Municipality,2017,2018,2019,2020,2021,2022,2023
1135 Sauda,1.1,3.2,4.6,3.7,2.9,1.3,17.6
1141 Finnøy (-2019),0.2,9.5,-1.8,.,.,.,.
1142 Rennesøy (-2019),-1.3,3.3,3.4,.,.,.,.
1144 Kvitsøy,1.7,8.0,0.8,3.0,7.4,12.7,6.7
1145 Bokn,5.5,9.0,8.2,0.6,4.3,7.7,3.1
1146 Tysvær,8.7,9.0,5.4,6.4,6.9,9.7,6.2
1149 Karmøy,4.6,2.6,4.3,4.0,6.2,4.5,0.7
1151 Utsira,6.4,11.4,6.8,8.9,9.2,18.1,14.5
1160 Vindafjord,6.7,2.1,1.7,5.8,5.1,6.2,5.0
4601 Bergen,.,.,.,2.4,4.6,3.6,0.7
4602 Kinn,.,.,.,-1.2,2.1,2.2,-1.2
4611 Etne,.,.,.,-2.9,2.5,2.2,0.6
4612 Sveio,.,.,.,2.1,4.0,3.5,0.5
4613 Bømlo,.,.,.,1.7,-0.5,-1.4,-3.9
4614 Stord,.,.,.,4.0,2.4,0.6,-0.2
